NeTEx Id;GlobalID;MetaID;Name;Steward;Destination Systems;Crossborder;long;lat;Main Mode;epPrio;CheckIn;Checkout;VAORemarks;(ARIA only) Name as found in time tables;(ARIA only) ARIA Name;(ARIA only) ARIA Remarks;(ARIA only) Answers / remarks SBB;ARIA id;Meta stop to bridge systems?;STA Relevant?;STA Id;STA Remarks;ARIA Relevant?;ARIA Id;ARIA Remarks;5T Relevant?;5T  Id;5T Remarks;LUK Relevant?;LUK Id;LUK Remarks;SBB Relevant;SBB Id;DiDok-ID;LUR Id;VAO Id (HAFAS ID);VAO Relevant?;(EU Spirit only) Additional EPs;Main Operator;Country;Remark;TODO;;;;;;;;;;;;;
at:ktn:StopPlace:at-42-2137:;;at:42:2137;Gödersdorf Bahnhof;VAO;SBB,VAO;;13,847395;46,568608;~Train~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:42:2137;;;420213700;x;;ÖBB;A;;;;;;;;;;;;;;;
at:ktn:StopPlace:at-42-2138:;;at:42:2138;Finkenstein Bahnhof;VAO;SBB,VAO;;13,867679;46,568904;~Train~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:42:2138;;;420213800;x;;ÖBB;A;;;;;;;;;;;;;;;
at:ktn:StopPlace:at-42-2139:;;at:42:2139;Faak am See Bahnhof;VAO;SBB,VAO;;13,911697;46,564384;~Train~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:42:2139;;;420213900;x;;ÖBB;A;;;;;;;;;;;;;;;
at:ktn:StopPlace:at-42-2143:;;at:42:2143;Rosenbach Bahnhof;VAO;SBB,VAO;;14,035278;46,530441;~Train~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:42:2143;;;420214300;x;;ÖBB;A;;;;;;;;;;;;;;;
at:ktn:StopPlace:at-42-3625:;;at:42:3625;Friesach Bahnhof;VAO;ARIA,SBB,VAO;;14,410702;46,953185;~Train~;;0;0;Fernverkehr;;;;;51240;;;;;;;;;;;;;;x;at:42:3625;;;420362500;x;;ÖBB;A;;;;;;;;;;;;;;;
at:ktn:StopPlace:at-42-3633:;;at:42:3633;St. Veit an der Glan Bahnhof;VAO;SBB,VAO;;14,366720;46,770642;~Train~;;0;0;Fernverkehr;;;;;;;;;;;;;;;;;;;x;at:42:3633;;;420363300;x;;ÖBB;A;;;;;;;;;;;;;;;
at:ktn:StopPlace:at-42-3642:;;at:42:3642;Klagenfurt Hauptbahnhof;VAO;ARIA,SBB,VAO;;14,313136;46,616209;~Train~;;0;0;Fernverkehr;;Klagenfurt Hbf;;;51230;;;;;;;;;;;;;;x;at:42:3642;;;420364200;x;;ÖBB;A;;;;;;;;;;;;;;;
at:ktn:StopPlace:at-42-3648:;;at:42:3648;Pörtschach Bahnhof;VAO;SBB,VAO;;14,146283;46,636030;~Train~;;0;0;Fernverkehr;;;;;;;;;;;;;;;;;;;x;at:42:3648;;;420364800;x;;ÖBB;A;;;;;;;;;;;;;;;
at:ktn:StopPlace:at-42-3654:;;at:42:3654;Villach Hauptbahnhof;VAO;ARIA,SBB,VAO;;13,848572;46,618239;~Train~;;0;0;Fernverkehr;;Villach Hbf;;;51231;;;;;;;;;;;;;;x;at:42:3654;;;420365400;x;;ÖBB;A;;;;;;;;;;;;;;;
at:ktn:StopPlace:at-42-3657:;;at:42:3657;Villach Warmbad Bahnhof;VAO;SBB,VAO;;13,828297;46,588324;~Train~;;0;0;;;;;;;;;;;;;;;;;;;;x;at:42:3657;;;420365700;x;;ÖBB;A;;;;;;;;;;;;;;;
